Sex,Mass,BMR
M,26.635,0.731600821
F,22.03,0.660404243
M,25.38,1.025753767
F,25.59,0.854383482
M,26.475,0.880943444
M,19.185,0.522965631
F,17.435,0.533466315
M,21.75,0.825952089
F,21.695,0.642032487
M,28.995,1.420120039
F,19.17,0.722196127
M,24.935,0.890171738
F,20.465,0.704572932
M,26.895,0.562179754
M,22.875,0.827601468
F,23.65,0.728135101
M,28.17,1.177259213
F,21.86,0.681175974
M,27.71,0.757264398
F,23.77,0.698718499
F,20.985,0.69615428
F,22.485,0.702618117
M,27.35,0.789377861
F,18.12,0.580259694
F,22.43,0.706756111
M,24.995,0.645579801
F,22.02,0.543014312
F,20.21,0.625246998
M,24.335,0.957725982
F,21.985,0.632521648
M,28.205,0.78996939
M,24.88,1.172139184
F,21.4,0.781168207
M,25.365,0.643586033
F,24.305,0.716324324
M,27.005,0.91761047
M,23.13,0.751536608
F,27.64,0.899851431
F,20.73,0.691002353
F,23.24,0.790195576
F,28.755,0.93486357
M,26.88,0.728776398
F,22.255,1.233787829
M,27.32,0.905082238
M,27.965,0.675726478
M,25.355,1.097907999
F,17.72,0.532674678
F,21.8,0.656180922
F,22.685,0.483182014
M,26.095,0.713513121
F,21.925,0.868675565
M,22.6,0.89259916
F,22.615,0.812254516
M,25.81,0.77165712
M,28.705,1.293714355
F,27.005,0.867386987
M,25.9,1.010394788
F,22.58,0.764818473
F,24.47,0.683341911
M,28.435,1.105494179
M,25.875,0.784861736
F,22.73,0.65238711
M,26.375,1.213525564
M,21.415,0.822060579
F,20.535,0.78489697
M,24.4,0.736555248
M,23.94,0.834556034
F,22.36,0.94525618
F,22.14,0.939824804
M,27.985,0.742828598
M,23.83,0.771016342
F,18.33,0.740510916
F,21.1,1.069061621
F,18.515,0.760074667
M,24.705,0.714137191
F,19.87,0.835720007
M,26.925,1.220742426
F,19.765,0.993375541
M,25.35,1.120056883
F,22.35,0.932639855
F,20.835,0.72938319
M,27.705,1.093779085
M,22.285,0.834514088
F,19.61,1.023141877
F,19.795,0.800950135
M,23.54,0.790627341
M,21.72,0.708824524
F,17.28,0.715741467
M,24.095,1.014968738
F,18.33,0.699471443
F,21.72,0.846157633
M,24.855,0.817553118
M,27.685,1.012013225
F,20.585,0.896755486
F,22.575,1.610177818
M,32.365,1.164442089
F,19.535,0.844069837
M,24.41,0.916251521
M,25.385,1.40076187
M,26.205,1.008511116
F,25.945,1.29052092
M,30.265,1.64262159
F,28.53,1.331755702
F,23.14,1.046943314
F,21.845,0.802691223
F,20.5,0.764769078
M,26.63,0.783403749
M,25.53,1.103709
F,22.66,1.350795409
M,26.92,0.986771398
F,25.05,1.07054138
M,24.875,0.891221839
M,25.355,1.027248355
F,19.725,0.935009364
M,21.125,0.929623354
F,18.245,0.699560093
M,22.07,0.638044095
F,19.935,0.555824181
M,22.955,0.900373752
F,20.53,0.799073993
M,24.235,0.82481026
F,22.005,0.796710236
M,22.16,1.11509812
M,23.785,0.713612678
F,18.775,1.178591394
F,26.88,1.10562196
M,27.95,1.136304197
F,25.185,0.858751655
M,28.64,1.299999451
M,23.82,1.286157878
M,23.91,0.895930014
F,20.935,0.687599888
M,22.145,0.795953909
F,20.3,0.581569327
F,24.915,1.115175066
M,28.075,0.845991763
M,25.35,0.951439216
F,21.11,0.873970696
F,22.835,1.110015529
M,27.53,0.983005327
M,23.915,0.72560429
F,20.66,0.726556966
M,22.26,1.049834567
M,29.77,0.956122585
M,23.595,0.819750686
M,28.84,0.901132218
F,20.775,0.638742308
M,25.275,0.722493252
M,23.77,0.888271467
F,18.78,0.714042425
F,21.87,0.874051418
M,23.905,1.172821758
M,26.69,1.099320847
F,20.13,0.787584509
M,25.33,0.631578762
F,23.35,0.695447003