Subject,Length,Time,Boldness
1,63,4.9,0.8775
8,50,7.4,0.814166667
9,44,0.9,0.978333333
10,62,13.7,0.658333333
11,51,1.7,0.958333333
12,70,0.3,0.99375
13,59,3.7,0.9075
16,73,7.2,0.819166667
17,66,27.5,0.312916667
18,47,7.3,0.818333333
19,59,1.7,0.95625
20,72,40.0,0
22,70,1.7,0.956666667
24,55,5.0,0.875
26,54,2.8,0.930833333
27,59,3.0,0.92625
28,54,6.2,0.845833333
31,63,8.8,0.78125
32,51,1.8,0.954583333
33,49,2.6,0.935833333
34,67,6.8,0.830416667
36,59,6.9,0.826666667
37,46,4.2,0.895416667
38,43,1.3,0.966666667
41,46,2.4,0.939583333
42,59,2.1,0.947916667
49,54,9.2,0.769166667
51,55,9.4,0.764583333
52,53,3.1,0.922916667
55,64,11.6,0.710416667
57,49,19.6,0.510833333
58,54,40.0,0
61,52,11.7,0.707083333
62,50,10.8,0.729583333
63,49,15.0,0.624583333
65,59,0.7,0.98125
66,40,6.5,0.837083333
68,61,0.2,0.99375
70,59,3.4,0.91625
72,69,15.2,0.620833333
74,43,0.1,0.99875
75,44,40.0,0
80,51,3.9,0.902916667
83,61,16.7,0.582083333
84,60,38.3,0.042916667
85,54,0.5,0.9875
87,52,28.2,0.295416667
88,61,30.4,0.239583333
92,58,0.9,0.977916667
93,56,2.9,0.928333333
94,66,9.4,0.765833333
96,48,11.4,0.714583333
97,51,2.5,0.938333333
98,62,0.0,0.999583333
99,47,0.0,0.999583333
102,61,6.3,0.842083333
104,59,3.3,0.916666667
107,58,19.0,0.525833333
108,57,8.8,0.780833333
109,42,8.1,0.798333333
111,54,8.5,0.786666667
112,44,6.6,0.835833333
113,58,40.0,0
114,58,21.0,0.474166667
115,56,3.6,0.909166667
117,54,9.3,0.768333333